City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
247,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
248,Palu,ID,76.14,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
249,Matara,LK,77.63,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
250,Takoradi,GH,76.15,broken clouds,4.8845,-1.7554,Raybow International Hotel
255,Wewak,PG,76.37,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
262,Boa Vista,BR,76.98,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
264,Huaihua,CN,77.02,overcast clouds,27.5494,109.9592,怀化天庆大酒店
266,Lorengau,PG,80.08,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
269,Naze,JP,80.04,heavy intensity rain,28.3667,129.4833,Amami Port Tower Hotel
273,Tateyama,JP,78.82,heavy intensity shower rain,34.9833,139.8667,Tateyama Seaside Hotel
285,San Pedro,PH,82.35,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
287,Manokwari,ID,77.23,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
289,Pondicherry,IN,80.26,broken clouds,11.93,79.83,Villa Shanti for food lovers
290,Caucaia,BR,84.15,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
291,Bubaque,GW,80.08,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
293,Grand-Lahou,CI,75.61,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
296,Gashua,NG,80.26,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
297,Circleville,US,88.84,scattered clouds,39.6006,-82.946,"Holiday Inn Express & Suites Circleville, an IHG Hotel"
299,Bataipora,BR,86.05,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
300,Kulhudhuffushi,MV,82.96,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
306,Rudsar,IR,78.78,few clouds,37.1376,50.288,Hotel Bahar
311,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
314,Sao Francisco,BR,78.35,overcast clouds,-15.9486,-44.8644,Hotel Supremo
315,Ha Giang,VN,81.5,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
316,Broome,US,86.05,broken clouds,42.2506,-75.833,Chenango Valley State Park
320,Sabzevar,IR,83.95,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
323,Puerto Escondido,MX,86.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
326,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
328,Wanning,CN,81.34,overcast clouds,18.8003,110.3967,Paradise Hotel
330,Monroe,US,88.29,broken clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
333,Lhokseumawe,ID,77.5,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
336,Jian,CN,79.47,light rain,27.1172,114.9793,Luling International Hotel
338,Altagracia De Orituco,VE,82.22,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
339,Tucuman,AR,80.6,clear sky,-26.8241,-65.2226,HOTEL MIAMI
343,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
348,Singaraja,ID,78.28,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
349,Boulsa,BF,86.18,clear sky,12.6675,-0.5758,AUBERGE Kiswendsida
352,Najran,SA,85.69,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
353,Bajil,YE,88.47,overcast clouds,15.0584,43.2851,فندق حضرموت
357,Butterworth,MY,82.99,few clouds,5.3991,100.3638,Cititel Penang
