City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,Vanderhoof,54.0166,-124.0198,62.76,86,33,5.28,CA,2021-08-05 14:30:38
158,Burnie,-41.0667,145.9167,49.91,79,100,15.28,AU,2021-08-05 14:30:38
159,Wajid,3.8093,43.2471,87.76,31,99,16.6,SO,2021-08-05 14:30:39
160,Bambous Virieux,-20.3428,57.7575,70.21,68,40,11.5,MU,2021-08-05 14:30:39
161,Norman Wells,65.282,-126.8329,55.44,82,40,6.91,CA,2021-08-05 14:30:40
162,Imperia,43.9667,7.7833,83.16,64,80,6.24,IT,2021-08-05 14:30:40
163,Castro,-24.7911,-50.0119,61.81,62,100,10.18,BR,2021-08-05 14:30:41
164,Cockburn Town,21.4612,-71.1419,85.96,70,40,13.8,TC,2021-08-05 14:25:44
165,Samara,53.0,50.0,80.74,27,7,14.63,RU,2021-08-05 14:30:41
166,Aklavik,68.2191,-135.0107,56.12,76,40,3.44,CA,2021-08-05 14:30:42
167,Port Elizabeth,-33.918,25.5701,65.1,82,40,19.57,ZA,2021-08-05 14:30:42
168,Ribeira Grande,38.5167,-28.7,79.2,73,75,14.97,PT,2021-08-05 14:30:43
169,Praia,14.9215,-23.5087,86.54,70,75,9.22,CV,2021-08-05 14:30:43
170,Cap Malheureux,-19.9842,57.6142,70.47,64,62,5.99,MU,2021-08-05 14:30:44
171,Tasiilaq,65.6145,-37.6368,51.96,75,28,1.77,GL,2021-08-05 14:30:44
172,Mahanoro,-19.9,48.8,67.57,73,9,5.64,MG,2021-08-05 14:30:45
173,Tura,25.5198,90.2201,77.0,92,100,2.46,IN,2021-08-05 14:30:45
174,Mincivan,39.0294,46.7185,96.55,17,3,10.76,AZ,2021-08-05 14:30:46
175,Kungalv,57.871,11.9805,74.12,44,37,4.52,SE,2021-08-05 14:30:46
176,Prince Rupert,54.3161,-130.3201,56.89,100,90,3.44,CA,2021-08-05 14:30:14
177,Wajir,1.7471,40.0573,87.24,35,63,20.49,KE,2021-08-05 14:30:47
178,Souillac,-20.5167,57.5167,70.36,68,40,11.5,MU,2021-08-05 14:30:48
179,Mandalgovi,45.7625,106.2708,68.0,39,7,4.27,MN,2021-08-05 14:30:48
180,Victoria,22.2855,114.1577,84.18,95,100,1.01,HK,2021-08-05 14:29:52
181,Quatre Cocos,-20.2078,57.7625,70.09,70,96,15.93,MU,2021-08-05 14:30:49
182,Mogadishu,2.0371,45.3438,78.67,65,40,14.97,SO,2021-08-05 14:27:39
183,Fresno,36.6666,-119.8343,74.08,50,1,0.0,US,2021-08-05 14:30:44
184,Bathsheba,13.2167,-59.5167,86.61,74,40,16.11,BB,2021-08-05 14:30:50
185,Aasiaat,68.7098,-52.8699,38.3,97,100,14.38,GL,2021-08-05 14:30:50
186,Hambantota,6.1241,81.1185,82.74,78,20,13.8,LK,2021-08-05 14:30:50
187,Saskylakh,71.9167,114.0833,55.18,60,17,8.93,RU,2021-08-05 14:30:51
188,La Rioja,42.25,-2.5,85.48,23,55,5.86,ES,2021-08-05 14:27:49
189,Kenora,49.8167,-94.4337,68.97,88,75,6.91,CA,2021-08-05 14:30:52
190,Cardston,49.2,-113.3019,62.28,82,0,2.3,CA,2021-08-05 14:30:52
191,Santa Rosa,14.3122,121.1114,82.9,83,54,9.24,PH,2021-08-05 14:30:53
192,Kavieng,-2.5744,150.7967,81.03,77,88,3.8,PG,2021-08-05 14:30:53
193,Fairmont,39.4851,-80.1426,77.58,85,2,5.01,US,2021-08-05 14:27:13
194,Byron Bay,-28.65,153.6167,53.87,72,3,5.95,AU,2021-08-05 14:30:54
195,Port-Cartier,50.0334,-66.8654,66.42,65,9,6.67,CA,2021-08-05 14:30:54
196,Rio Gallegos,-51.6226,-69.2181,57.25,19,0,36.82,AR,2021-08-05 14:30:54
197,Kathmandu,27.7167,85.3167,73.62,88,75,3.44,NP,2021-08-05 14:30:55
198,Saldanha,-33.0117,17.9442,64.45,86,48,6.64,ZA,2021-08-05 14:30:55
199,San Jose,37.3394,-121.895,62.76,82,90,6.91,US,2021-08-05 14:30:16
200,Kitob,39.0843,66.8332,91.98,17,74,7.94,UZ,2021-08-05 14:30:56
201,Homer,59.6425,-151.5483,54.03,97,90,4.61,US,2021-08-05 14:30:56
202,Leningradskiy,69.3833,178.4167,37.74,99,86,2.28,RU,2021-08-05 14:30:57
203,Yarada,17.65,83.2667,84.52,84,75,2.3,IN,2021-08-05 14:29:18
204,Lagoa,39.05,-27.9833,72.86,90,0,17.43,PT,2021-08-05 14:30:58
205,Muisne,0.6,-80.0333,76.53,83,100,11.52,EC,2021-08-05 14:30:58
206,Dakar,14.6937,-17.4441,88.68,74,20,11.5,SN,2021-08-05 14:30:59
207,Pisco,-13.7,-76.2167,65.01,72,75,9.22,PE,2021-08-05 14:30:59
208,Nizwa,22.9333,57.5333,103.98,10,38,10.63,OM,2021-08-05 14:31:00
209,Qaanaaq,77.484,-69.3632,45.48,60,18,3.6,GL,2021-08-05 14:31:00
210,San Cristobal,7.7669,-72.225,78.98,73,72,7.25,VE,2021-08-05 14:31:00
211,Margate,51.3813,1.3862,72.7,58,52,13.78,GB,2021-08-05 14:31:01
212,Eyl,7.9803,49.8164,79.3,73,77,29.57,SO,2021-08-05 14:31:01
213,Baoning,25.3378,110.026,78.66,94,20,0.0,CN,2021-08-05 14:31:02
214,Bilibino,68.0546,166.4372,43.16,90,80,7.87,RU,2021-08-05 14:31:03
215,Solnechnyy,50.7214,136.6319,57.04,98,99,2.44,RU,2021-08-05 14:31:03
216,Mascote,-15.5631,-39.3025,69.73,93,100,4.52,BR,2021-08-05 14:31:04
217,Kefamenanu,-9.4467,124.4781,70.16,90,82,6.02,ID,2021-08-05 14:31:04
218,Viedma,-40.8135,-62.9967,65.03,30,14,25.39,AR,2021-08-05 14:30:33
219,Vila Velha,-20.3297,-40.2925,67.95,88,90,4.61,BR,2021-08-05 14:30:34
220,Thunder Bay,48.4001,-89.3168,71.58,81,75,0.0,CA,2021-08-05 14:30:57
221,Muborak,39.2553,65.1528,93.74,12,0,12.57,UZ,2021-08-05 14:31:05
222,Repedea,47.8333,24.4,65.98,88,86,2.53,RO,2021-08-05 14:31:06
223,Kasempa,-13.4584,25.8338,79.59,12,0,5.03,ZM,2021-08-05 14:31:06
224,Ypsonas,34.6884,32.9574,98.49,70,20,18.41,CY,2021-08-05 14:31:06
225,Porto Novo,6.4965,2.6036,84.02,91,100,6.96,BJ,2021-08-05 14:31:07
226,Raudeberg,61.9875,5.1352,71.2,85,83,19.22,NO,2021-08-05 14:31:07
227,Lata,40.1629,-8.3327,87.04,52,3,12.44,PT,2021-08-05 14:31:08
228,Chuy,-33.6971,-53.4616,61.54,80,65,11.63,UY,2021-08-05 14:31:08
229,Brae,60.3964,-1.353,60.71,76,100,21.12,GB,2021-08-05 14:31:09
230,Katsuura,35.1333,140.3,78.91,86,45,6.13,JP,2021-08-05 14:31:09
231,Kingsport,36.5484,-82.5618,79.36,71,20,1.99,US,2021-08-05 14:28:43
232,Najran,17.4924,44.1277,97.45,22,96,11.65,SA,2021-08-05 14:31:10
233,Esperance,-33.8667,121.9,51.64,85,0,8.39,AU,2021-08-05 14:31:10
234,Cayenne,4.9333,-52.3333,84.24,74,75,3.44,GF,2021-08-05 14:30:04
235,Itarema,-2.9248,-39.9167,89.98,44,18,15.01,BR,2021-08-05 14:31:11
236,Si Sa Ket,14.8333,104.3333,82.0,86,100,13.29,TH,2021-08-05 14:31:11
237,Iracoubo,5.4802,-53.2011,79.7,85,100,4.34,GF,2021-08-05 14:31:11
238,Geraldton,-28.7667,114.6,46.81,81,0,5.75,AU,2021-08-05 14:31:12
239,Dunedin,-45.8742,170.5036,48.79,87,78,2.95,NZ,2021-08-05 14:30:43
240,Tukrah,32.5341,20.5791,91.72,42,0,10.89,LY,2021-08-05 14:31:12
241,Gladstone,-23.85,151.25,56.79,50,32,3.44,AU,2021-08-05 14:31:13
